Dopant,Period,Classification,Ionic valence,Ionic radius,Covalent radius,Atomic weight,Density,Melting point,Boiling point,Heat of fusion,Heat of vaporization,Thermal conductivity,Ionization Energy I,Ionization Energy II,Electronegativity,Dopant/Ti mole ratio,Calcination Temperature ,Calcination Time,Cocatalyst,Weight Percent of Cocatalyst,Catalyst concentration,Sacrificial Agents,Percent of Sacrificial reagents,Wavelength,Hydrogen production rate
C,2,Non-metal,-4,260.0,75,12.0,2.26,3550.0,4827.0,117.0,0.0,155.0,1086,2353,2.55,0.002,500,4.0,none,0.0,0.25,MeOH,10.0,600,1.2
C,2,Non-metal,-4,260.0,75,12.0,2.26,3550.0,4827.0,117.0,0.0,155.0,1086,2353,2.55,0.002,500,4.0,none,0.0,0.25,MeOH,10.0,600,1.5
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.004,500,5.0,none,0.0,1.29,MeOH,25.8,600,5.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pd,0.55,0.5,MeOH,30.0,550,6.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0303,800,0.0,Pt,1.5,3.85,EA,3.85,365,8.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0027,400,5.0,none,0.0,2.0,none,0.0,500,8.5
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.024,700,0.0,Pt,1.5,3.85,EA,3.85,365,10.5
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0303,700,0.0,Pt,1.5,3.85,EA,3.85,365,10.5
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0178,800,0.0,Pt,1.5,3.85,EA,3.85,365,11.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.024,800,0.0,Pt,1.5,3.85,EA,3.85,365,11.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.006,500,5.0,none,0.0,1.29,MeOH,25.8,600,11.5
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.06,500,4.0,none,0.0,2.0,MeOH,20.0,585,12.2
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0058,700,0.0,Pt,1.5,3.85,EA,3.85,365,12.5
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0088,700,0.0,Pt,1.5,3.85,EA,3.85,365,12.5
In,5, Other Metals,3,80.0,142,114.8,7.31,156.6,2072.0,3.28,231.8,81.6,558,1821,1.78,0.0085,500,4.0,none,0.0,2.0,MeOH,20.0,585,13.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,400,1.0,Au,1.0,1.0,MeOH,30.0,254,13.799999999999999
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0058,800,0.0,Pt,1.5,3.85,EA,3.85,365,16.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0178,700,0.0,Pt,1.5,3.85,EA,3.85,365,16.0
Ce,6, Rare Earth,3,102.0,163,140.1,6.77,795.0,3440.0,5.46,398.0,11.4,528,1047,1.12,0.006,400,0.0,none,0.0,1.35,MeOH,5.4,585,17.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,800,3.0,Au,0.0,10.0,MeOH,10.0,500,19.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,500,3.0,Rh,1.0,1.0,MeOH,8.0,600,20.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.0,450,3.0,none,0.0,0.3,MeOH,10.0,500,26.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pd,1.0,0.5,MeOH,30.0,340,27.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,2.0,Au,2.0,0.75,EA,5.0,585,27.058823529411764
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.335,700,4.0,Pt,3.0,0.2,none,0.0,626,28.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0088,800,0.0,Pt,1.5,3.85,EA,3.85,365,32.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,700,3.0,Au,0.0,10.0,MeOH,10.0,500,33.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,400,0.0,none,0.0,1.35,MeOH,5.4,585,36.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,500,3.0,Au,0.0,10.0,MeOH,10.0,500,38.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,500,2.0,Pt,0.2,2.0,MeOH,25.0,500,39.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.124,700,4.0,Pt,3.0,0.2,none,0.0,500,43.333333333333336
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.012,500,5.0,none,0.0,1.29,MeOH,25.8,600,44.5
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.05,none,0.0,254,51.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,400,3.0,Au,0.0,10.0,MeOH,10.0,500,52.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.06,500,4.0,Pd,2.0,2.0,MeOH,20.0,585,56.6
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.335,700,4.0,Pt,3.0,0.2,none,0.0,585,63.333333333333336
In,5, Other Metals,3,80.0,142,114.8,7.31,156.6,2072.0,3.28,231.8,81.6,558,1821,1.78,0.0085,500,4.0,Pd,2.0,2.0,MeOH,20.0,585,63.4
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pt,1.0,0.5,MeOH,30.0,550,70.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0117,800,0.0,Pt,1.5,3.85,EA,3.85,365,72.5
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.01,500,5.0,none,0.0,1.29,MeOH,25.8,600,74.5
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,300,3.0,Au,0.0,10.0,MeOH,10.0,500,78.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.015,none,0.0,254,78.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,2.0,Au,2.0,0.75,Na2SO3,0.0,500,78.43137254901961
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.232,700,4.0,Pt,3.0,0.2,none,0.0,500,83.33333333333334
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,800,0.0,Pt,0.0,10.0,MeOH,10.0,500,87.3
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,5.0,Au,0.2,1.67,MeOH,20.0,500,88.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.52,700,4.0,Pt,3.0,0.2,none,0.0,500,96.66666666666667
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.431,400,4.0,Pt,3.0,0.2,none,0.0,626,96.66666666666667
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0148,800,0.0,Pt,1.5,3.85,EA,3.85,365,98.49999999999999
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,0.5,Ru,1.0,0.5,MeOH,30.0,550,100.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0678,400,5.0,none,0.0,2.0,none,0.0,500,100.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.232,400,4.0,Pt,3.0,0.2,none,0.0,500,106.66666666666667
Cu,4,Transition Metal,2,73.0,112,63.6,8.96,1084.6,2561.5,13.26,300.4,401.0,745,1958,1.9,0.00625,450,3.0,none,0.0,0.3,MeOH,10.0,500,110.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0068,400,5.0,none,0.0,2.0,none,0.0,500,120.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.431,700,4.0,Pt,3.0,0.2,none,0.0,500,123.33333333333334
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,400,2.0,Pt,0.2,2.0,MeOH,25.0,500,125.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.335,700,4.0,Pt,3.0,0.2,none,0.0,522,126.66666666666667
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.002,400,1.0,none,0.0,1.0,EA,25.0,500,145.0
Ni,4,Transition Metal,2,69.0,110,58.7,8.91,1453.0,2884.0,17.48,377.5,90.7,737,1753,1.91,0.045,500,0.5,none,0.0,0.67,none,0.0,590,146.3
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,300,0.0,Pt,0.0,10.0,MeOH,10.0,500,154.6
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.431,400,4.0,Pt,3.0,0.2,none,0.0,585,156.66666666666669
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.004,400,1.0,none,0.0,1.0,EA,25.0,500,163.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0407,400,5.0,none,0.0,2.0,none,0.0,500,170.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,5.0,Pd,0.2,1.67,MeOH,20.0,500,170.1
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,0.5,Ag,6.0,0.67,EA,10.0,254,173.51
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.04,0,0.0,none,0.0,1.0,MeOH,2.0,585,175.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0136,400,5.0,none,0.0,2.0,none,0.0,500,175.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.335,700,4.0,Pt,3.0,0.2,none,0.0,500,176.66666666666666
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.04,500,0.5,none,0.0,0.67,none,0.0,590,178.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.431,400,4.0,Pt,3.0,0.2,none,0.0,522,180.00000000000003
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.04,500,0.5,none,0.0,0.67,none,0.0,254,182.3
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.335,700,4.0,Pt,3.0,0.2,none,0.0,456,183.33333333333334
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.335,400,4.0,Pt,3.0,0.2,none,0.0,500,186.66666666666666
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.025,none,0.0,254,188.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.05,130,48.0,none,0.0,8.0,Gly,5.0,500,190.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.6,400,4.0,Pt,3.0,0.2,none,0.0,500,196.66666666666669
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,0.5,Ru,5.0,0.5,MeOH,30.0,550,200.0
Cu,4,Transition Metal,2,73.0,112,63.6,8.96,1084.6,2561.5,13.26,300.4,401.0,745,1958,1.9,0.005,650,12.0,none,0.0,0.025,EA,50.0,325,200.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.04,500,0.5,none,0.0,0.67,EA,10.0,590,205.24
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,300,0.0,Pt,0.0,10.0,MeOH,10.0,500,205.8
Nd,6, Rare Earth,3,98.3,174,144.2,7.01,1024.0,3074.0,7.14,289.0,16.5,530,1035,1.14,0.008333333333333333,450,4.0,none,0.0,1.0,MeOH,48.5,254,208.5
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,5.0,Pt,0.2,1.67,MeOH,20.0,500,210.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.004,130,48.0,none,0.0,8.0,Gly,5.0,500,210.0
Ni,4,Transition Metal,2,69.0,110,58.7,8.91,1453.0,2884.0,17.48,377.5,90.7,737,1753,1.91,0.045,500,0.5,none,0.0,0.67,EA,10.0,590,213.75
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0271,400,5.0,none,0.0,2.0,none,0.0,500,220.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.04,500,0.5,none,0.0,0.67,EA,10.0,254,220.59
Ni,4,Transition Metal,2,69.0,110,58.7,8.91,1453.0,2884.0,17.48,377.5,90.7,737,1753,1.91,0.045,500,0.5,none,0.0,0.67,none,0.0,254,221.0
Nd,6, Rare Earth,3,98.3,174,144.2,7.01,1024.0,3074.0,7.14,289.0,16.5,530,1035,1.14,0.002777777777777778,450,4.0,none,0.0,1.0,MeOH,48.5,254,237.5
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,36.47,450,1.0,Pt,1.0,1.0,MeOH,20.0,585,240.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,36.47,450,3.0,Pt,1.0,1.0,MeOH,20.0,585,240.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.04,500,0.5,none,0.0,0.67,EA,10.0,590,248.2
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.04,500,0.5,none,0.0,0.67,EA,10.0,590,248.2
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,10.0,350,0.0,Pt,0.0,5.0,Na2SO3,0.0,590,250.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.0015,450,3.0,none,0.0,0.3,MeOH,10.0,500,250.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.04,500,0.5,none,0.0,0.67,EA,10.0,590,253.75
Nd,6, Rare Earth,3,98.3,174,144.2,7.01,1024.0,3074.0,7.14,289.0,16.5,530,1035,1.14,0.0044444444444444444,450,4.0,none,0.0,1.0,MeOH,48.5,254,257.5
Nd,6, Rare Earth,3,98.3,174,144.2,7.01,1024.0,3074.0,7.14,289.0,16.5,530,1035,1.14,0.005555555555555556,450,4.0,none,0.0,1.0,MeOH,48.5,254,262.5
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.05,600,12.0,none,0.0,0.025,EA,50.0,331,265.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,0.5,Ag,6.0,0.67,EA,10.0,590,269.65
Sn,5, Other Metals,4,69.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.102,180,12.0,none,0.0,0.25,TEA,10.0,500,271.2
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.007,130,48.0,none,0.0,8.0,Gly,5.0,500,275.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.1,600,12.0,none,0.0,0.025,EA,50.0,256,280.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.335,700,4.0,Pt,3.0,0.2,none,0.0,400,280.0
Cu,4,Transition Metal,2,73.0,112,63.6,8.96,1084.6,2561.5,13.26,300.4,401.0,745,1958,1.9,0.005,650,12.0,none,0.0,0.025,EA,50.0,300,280.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.006,400,1.0,none,0.0,1.0,EA,25.0,290,280.0
Sr,5, Alkaline Earth,2,118.0,185,87.6,2.64,757.0,1366.0,7.43,136.9,35.3,549,1064,0.95,0.0,450,6.0,Pt,1.0,0.417,MeOH,25.0,590,289.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.05,600,12.0,none,0.0,0.025,EA,50.0,256,290.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.52,400,4.0,Pt,3.0,0.2,none,0.0,500,293.33333333333337
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.255,600,12.0,none,0.0,0.1,EA,50.0,338,300.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.255,600,12.0,none,0.0,0.1,EA,50.0,256,300.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.0148,450,3.0,none,0.0,0.3,MeOH,10.0,500,300.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0,400,5.0,none,0.0,2.0,Gly,5.0,500,300.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.05,500,2.0,Pt,1.5,0.5,MeOH,30.0,340,300.0
Pt,6,Transition Metal,4,62.5,123,195.1,21.09,1769.0,3824.0,22.17,469.0,71.6,870,1791,2.2,0.0062,550,3.0,none,0.0,2.0,MeOH,10.0,600,300.0
Nd,6, Rare Earth,3,98.3,174,144.2,7.01,1024.0,3074.0,7.14,289.0,16.5,530,1035,1.14,0.0011111111111111111,450,4.0,none,0.0,1.0,MeOH,48.5,254,307.5
Sn,5, Other Metals,4,69.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.051,180,12.0,none,0.0,0.25,TEA,10.0,500,318.2
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.008,400,1.0,none,0.0,1.0,EA,25.0,500,333.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.04,500,0.5,Ag,6.0,0.67,EA,10.0,590,336.27
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.05,500,0.5,Ag,5.4,0.67,EA,10.0,254,349.83
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.01,130,48.0,none,0.0,8.0,Gly,5.0,500,350.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,2.0,none,0.0,0.75,EA,5.0,500,352.94117647058823
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.431,400,4.0,Pt,3.0,0.2,none,0.0,456,353.3333333333333
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.06,450,2.0,none,0.0,0.67,MeOH,10.0,500,370.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.006,400,1.0,none,0.0,1.0,EA,25.0,600,377.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.04,450,2.0,none,0.0,0.67,MeOH,10.0,500,380.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,36.47,400,1.0,Pt,1.0,1.0,MeOH,20.0,585,380.0
