Dopant,Period,Classification,Ionic valence,Ionic radius,Covalent radius,Atomic weight,Density,Melting point,Boiling point,Heat of fusion,Heat of vaporization,Thermal conductivity,Ionization Energy I,Ionization Energy II,Electronegativity,Dopant/Ti mole ratio,Calcination Temperature ,Calcination Time,Cocatalyst,Weight Percent of Cocatalyst,Catalyst concentration,Sacrificial Agents,Percent of Sacrificial reagents,Wavelength,Hydrogen production rate
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.431,400,4.0,Pt,3.0,0.2,none,0.0,500,380.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.006,400,1.0,none,0.0,1.0,EA,25.0,500,382.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.0025,600,12.0,none,0.0,0.025,EA,50.0,331,385.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,5.0,Au,0.2,1.67,MeOH,20.0,500,398.5
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.045,500,0.5,Ag,6.0,0.67,EA,10.0,254,399.96
Sn,5, Other Metals,4,69.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.034,180,12.0,none,0.0,0.25,TEA,10.0,500,401.6
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.0074,450,3.0,none,0.0,0.3,MeOH,10.0,500,415.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,300,2.0,Pt,0.2,2.0,MeOH,25.0,500,416.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,400,1.0,Au,1.0,1.0,MeOH,30.0,565,431.19999999999993
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,250,2.0,Pt,0.2,2.0,MeOH,25.0,500,450.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Au,1.0,1.0,MeOH,25.0,470,468.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.02,none,0.0,254,470.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0303,600,0.0,Pt,1.5,3.85,EA,3.85,365,476.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.05,500,0.5,Ag,5.4,0.67,EA,10.0,590,476.06
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,150,2.0,Pt,0.2,2.0,MeOH,25.0,500,490.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.304,600,15.0,none,0.0,0.1,EA,50.0,338,500.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.01,500,2.0,Pt,1.5,0.5,MeOH,30.0,340,500.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.01,600,12.0,none,0.0,0.025,EA,50.0,331,507.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.0025,600,12.0,none,0.0,0.025,EA,50.0,256,510.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.005,600,12.0,none,0.0,0.025,EA,50.0,331,510.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.04,500,0.5,Ag,6.0,0.67,EA,10.0,590,512.35
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.02,130,48.0,none,0.0,8.0,Gly,5.0,500,514.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.045,500,0.5,Ag,6.0,0.67,EA,10.0,590,515.45
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,400,1.0,Au,1.0,1.0,MeOH,30.0,254,523.4
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,550,4.0,Ag,3.0,0.625,EA,0.0,364,542.0
W,6,Transition Metal,6,60.0,137,183.8,19.25,3387.0,5900.0,52.31,806.7,174.0,770,1700,1.7,0.1,350,3.0,none,0.0,0.5,EA,10.0,500,560.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.01,600,12.0,none,0.0,0.025,EA,50.0,256,570.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,200,2.0,Pt,0.2,2.0,MeOH,25.0,500,570.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.0037,450,3.0,none,0.0,0.2,MeOH,10.0,500,580.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,2.0,350,0.0,Pt,0.0,5.0,Na2SO3,0.0,500,590.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,0.5,Ru,2.0,0.5,MeOH,30.0,550,600.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,450,4.0,none,0.0,1.0,MeOH,10.0,500,601.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,6.0,350,0.0,Pt,0.0,5.0,Na2SO3,0.0,500,610.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,6.0,350,0.0,Pt,0.0,5.0,Na2SO3,0.0,590,610.0
P,3,Non-metal,5,38.0,111,31.0,2.34,597.0,280.0,0.0,0.66,0.235,1012,1903,2.19,0.431,400,4.0,Pt,3.0,0.2,none,0.0,400,616.6666666666667
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0,800,0.0,Pt,1.5,3.85,EA,3.85,365,627.9999999999999
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,6.0,500,0.0,Pt,0.0,5.0,Na2SO3,0.0,590,630.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Cu,0.0,0.5,MeOH,30.0,500,680.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.001,500,3.0,Pt,0.5,0.3,MeOH,8.33,550,680.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.01,500,3.0,Pt,0.5,0.03,MeOH,8.33,550,682.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,36.47,550,3.0,Pt,1.0,1.0,MeOH,20.0,585,700.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pt,1.5,0.5,MeOH,30.0,340,700.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.05,500,2.0,Pt,0.5,0.5,MeOH,30.0,340,700.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pt,1.0,0.5,MeOH,30.0,340,700.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Ni,0.5,10.0,MeOH,50.0,290,720.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Au,2.0,1.0,MeOH,25.0,470,720.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.02,450,2.0,none,0.0,0.67,MeOH,10.0,500,730.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,3.65,500,1.0,Pt,1.0,1.0,MeOH,20.0,585,730.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,0.5,Ru,3.0,0.5,MeOH,30.0,550,750.0
Zn,4,Transition Metal,2,74.0,118,65.4,7.14,419.53,907.0,7.32,123.6,116.0,906,1733,1.65,0.26,450,2.0,none,0.0,0.8,MeOH,20.0,600,750.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0148,700,0.0,Pt,1.5,3.85,EA,3.85,365,750.4999999999999
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,5.21,500,1.0,Pt,1.0,1.0,MeOH,20.0,585,760.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,5.0,Pd,0.2,1.67,MeOH,20.0,500,761.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.08,450,2.0,none,0.0,0.67,MeOH,10.0,500,770.0
Sn,5, Other Metals,4,69.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.017,180,12.0,none,0.0,0.25,TEA,10.0,500,789.5
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.02,MeOH,20.0,254,795.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.005,600,12.0,none,0.0,0.025,EA,50.0,256,800.0
Pt,6,Transition Metal,4,62.5,123,195.1,21.09,1769.0,3824.0,22.17,469.0,71.6,870,1791,2.2,0.0021,550,3.0,none,0.0,2.0,MeOH,10.0,600,800.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,5.0,Pt,0.2,1.67,MeOH,20.0,500,809.1
W,6,Transition Metal,6,60.0,137,183.8,19.25,3387.0,5900.0,52.31,806.7,174.0,770,1700,1.7,0.1,350,3.0,none,0.0,0.5,EA,10.0,500,820.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0,600,0.0,Pt,1.5,3.85,EA,3.85,365,827.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Au,0.5,1.0,MeOH,25.0,470,828.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Pd,0.5,10.0,MeOH,50.0,290,840.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,300,5.0,Au,0.1,2.0,MeOH,0.1,585,840.0
K,4, Alkali Metal,1,138.0,196,39.0,0.89,63.38,759.0,2.32,76.9,102.5,419,3051,0.82,0.01,180,0.0,Pd,0.8,0.5,MeOH,10.0,490,845.9999999999999
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.024,600,0.0,Pt,1.5,3.85,EA,3.85,365,876.5
Be,2, Alkaline Earth,2,45.0,102,9.0,1.85,1287.0,2467.0,7.9,297.0,200.0,899,1757,1.57,0.0125,400,1.0,Pt,0.5,0.5,EA,1.0,365,900.0
Al,3, Other Metals,3,53.5,126,27.0,2.7,660.32,2518.0,10.7,294.0,237.0,578,1817,1.61,0.002,180,0.0,Pd,0.8,0.5,MeOH,10.0,490,904.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.031,400,1.0,none,0.0,0.5,MeOH,50.0,585,910.0
Mg,3, Alkaline Earth,2,72.0,139,24.3,1.74,651.0,1100.0,8.48,128.0,156.0,738,1451,1.31,0.002,180,0.0,Pd,0.8,0.5,MeOH,10.0,490,925.9999999999999
Sr,5, Alkaline Earth,2,118.0,185,87.6,2.64,757.0,1366.0,7.43,136.9,35.3,549,1064,0.95,0.009,450,6.0,Pt,1.0,0.417,MeOH,25.0,590,933.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0178,600,0.0,Pt,1.5,3.85,EA,3.85,365,952.9999999999999
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0,700,0.0,Pt,1.5,3.85,EA,3.85,365,968.4999999999999
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0117,700,0.0,Pt,1.5,3.85,EA,3.85,365,968.4999999999999
Be,2, Alkaline Earth,2,45.0,102,9.0,1.85,1287.0,2467.0,7.9,297.0,200.0,899,1757,1.57,0.0125,600,1.0,Pt,0.5,0.5,EA,1.0,365,972.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.02,IPA,20.0,254,983.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,7.29,500,1.0,Pt,1.0,1.0,MeOH,20.0,585,1000.0
S,3,Non-metal,-2,184.0,103,32.0,1.92,106.8,444.72,1.73,45.0,0.269,1000,2251,2.58,0.02,450,2.0,none,0.0,0.67,MeOH,10.0,500,1000.0
Pt,6,Transition Metal,4,62.5,123,195.1,21.09,1769.0,3824.0,22.17,469.0,71.6,870,1791,2.2,0.0041,550,3.0,none,0.0,2.0,MeOH,10.0,600,1000.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0058,600,0.0,Pt,1.5,3.85,EA,3.85,365,1000.4999999999999
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,300,5.0,Pt,0.3,1.0,MeOH,20.0,585,1080.0
K,4, Alkali Metal,1,138.0,196,39.0,0.89,63.38,759.0,2.32,76.9,102.5,419,3051,0.82,0.005,180,0.0,Pd,0.8,0.5,MeOH,10.0,490,1092.0
Sr,5, Alkaline Earth,2,118.0,185,87.6,2.64,757.0,1366.0,7.43,136.9,35.3,549,1064,0.95,0.012,450,6.0,Pt,1.0,0.417,MeOH,25.0,590,1092.0
Cu,4,Transition Metal,2,73.0,112,63.6,8.96,1084.6,2561.5,13.26,300.4,401.0,745,1958,1.9,0.0375,450,3.0,none,0.0,0.3,MeOH,10.0,500,1180.0
K,4, Alkali Metal,1,138.0,196,39.0,0.89,63.38,759.0,2.32,76.9,102.5,419,3051,0.82,0.001,180,0.0,Pd,0.8,0.5,MeOH,10.0,490,1185.9999999999998
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Pd,1.0,10.0,MeOH,50.0,290,1200.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Au,1.0,0.325,TB,10.0,365,1200.0
Be,2, Alkaline Earth,2,45.0,102,9.0,1.85,1287.0,2467.0,7.9,297.0,200.0,899,1757,1.57,0.0425,400,1.0,Pt,0.5,0.5,EA,1.0,365,1200.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.304,600,15.0,none,0.0,0.1,EA,50.0,256,1200.0
S,3,Non-metal,-2,184.0,103,32.0,1.92,106.8,444.72,1.73,45.0,0.269,1000,2251,2.58,0.08,450,2.0,none,0.0,0.67,MeOH,10.0,500,1200.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.01,450,2.0,Pt,0.5,0.5,MeOH,30.0,550,1200.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.05,500,2.0,Pt,1.0,0.5,MeOH,30.0,340,1200.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.02,EA,20.0,254,1251.0
Na,3, Alkali Metal,1,102.0,155,23.0,0.97,97.82,881.4,2.6,97.42,141.0,496,4562,0.93,0.002,180,0.0,Pd,0.8,0.5,MeOH,10.0,490,1290.0
Mn,4,Transition Metal,2,83.0,119,55.0,7.21,1244.0,2095.0,12.9,221.0,7.82,717,1509,1.55,0.015,500,5.0,none,0.0,0.5,MeOH,50.0,254,1376.0
Cu,4,Transition Metal,2,73.0,112,63.6,8.96,1084.6,2561.5,13.26,300.4,401.0,745,1958,1.9,0.0125,450,3.0,none,0.0,0.3,MeOH,10.0,500,1400.0
Ba,6, Alkaline Earth,2,136.0,196,137.3,3.51,726.9,1845.0,7.12,140.3,18.4,503,965,0.89,5.0,550,3.0,Pt,0.0,0.33,TEA,10.0,500,1436.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.05,130,48.0,none,0.0,8.0,Gly,5.0,290,1450.0
Be,2, Alkaline Earth,2,45.0,102,9.0,1.85,1287.0,2467.0,7.9,297.0,200.0,899,1757,1.57,0.0325,400,1.0,Pt,0.5,0.5,EA,1.0,365,1460.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Co,2.0,1.0,MeOH,50.0,290,1490.0
S,3,Non-metal,-2,184.0,103,32.0,1.92,106.8,444.72,1.73,45.0,0.269,1000,2251,2.58,0.04,450,2.0,none,0.0,0.67,MeOH,10.0,500,1500.0
Be,2, Alkaline Earth,2,45.0,102,9.0,1.85,1287.0,2467.0,7.9,297.0,200.0,899,1757,1.57,0.0125,500,1.0,Pt,0.5,0.5,EA,1.0,365,1530.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.004,130,48.0,none,0.0,8.0,Gly,5.0,290,1530.0
K,4, Alkali Metal,1,138.0,196,39.0,0.89,63.38,759.0,2.32,76.9,102.5,419,3051,0.82,0.002,180,0.0,Pd,0.8,0.5,MeOH,10.0,490,1531.9999999999998
Mn,4,Transition Metal,2,83.0,119,55.0,7.21,1244.0,2095.0,12.9,221.0,7.82,717,1509,1.55,0.044,500,5.0,none,0.0,0.5,MeOH,50.0,254,1534.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Ni,1.0,10.0,MeOH,50.0,290,1560.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.001,500,3.0,Pt,0.5,0.15,MeOH,8.33,550,1560.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.005,500,3.0,Pt,0.5,0.03,MeOH,8.33,550,1572.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.01,500,2.0,Pt,0.5,0.5,MeOH,30.0,340,1600.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.075,450,2.0,Pt,0.5,0.5,MeOH,30.0,340,1720.0
Mn,4,Transition Metal,2,83.0,119,55.0,7.21,1244.0,2095.0,12.9,221.0,7.82,717,1509,1.55,0.073,500,5.0,none,0.0,0.5,MeOH,50.0,254,1736.0
Cu,4,Transition Metal,2,73.0,112,63.6,8.96,1084.6,2561.5,13.26,300.4,401.0,745,1958,1.9,0.0148,450,3.0,none,0.0,0.2,MeOH,10.0,500,1750.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,550,4.0,Ni,3.0,0.625,EA,0.0,364,1757.0
Be,2, Alkaline Earth,2,45.0,102,9.0,1.85,1287.0,2467.0,7.9,297.0,200.0,899,1757,1.57,0.0125,600,0.5,Pt,0.5,0.5,EA,1.0,365,1764.0
Mn,4,Transition Metal,2,83.0,119,55.0,7.21,1244.0,2095.0,12.9,221.0,7.82,717,1509,1.55,0.145,500,5.0,none,0.0,0.5,MeOH,50.0,254,1778.0
Be,2, Alkaline Earth,2,45.0,102,9.0,1.85,1287.0,2467.0,7.9,297.0,200.0,899,1757,1.57,0.0225,400,1.0,Pt,0.5,0.5,EA,1.0,365,1800.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0088,600,0.0,Pt,1.5,3.85,EA,3.85,365,1826.9999999999998
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.003,500,3.0,Pt,0.5,0.03,MeOH,8.33,550,1830.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.001,500,3.0,Pt,0.5,0.09,MeOH,8.33,550,1840.0
K,4, Alkali Metal,1,138.0,196,39.0,0.89,63.38,759.0,2.32,76.9,102.5,419,3051,0.82,0.01,180,0.0,Pd,0.8,0.2,MeOH,10.0,490,1850.0
S,3,Non-metal,-2,184.0,103,32.0,1.92,106.8,444.72,1.73,45.0,0.269,1000,2251,2.58,0.06,450,2.0,none,0.0,0.67,MeOH,10.0,500,1850.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,550,3.0,Pt,0.0,0.33,TEA,10.0,500,1881.8
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.007,130,48.0,none,0.0,8.0,Gly,5.0,290,1900.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pt,0.5,0.5,MeOH,30.0,340,1950.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,18.23,500,1.0,Pt,1.0,1.0,MeOH,20.0,585,1980.0
Be,2, Alkaline Earth,2,45.0,102,9.0,1.85,1287.0,2467.0,7.9,297.0,200.0,899,1757,1.57,0.005,400,1.0,Pt,0.5,0.5,EA,1.0,365,2000.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.01,500,2.0,Pt,1.0,0.5,MeOH,30.0,340,2000.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.075,450,2.0,Pt,0.5,0.5,MeOH,30.0,550,2150.0
Be,2, Alkaline Earth,2,45.0,102,9.0,1.85,1287.0,2467.0,7.9,297.0,200.0,899,1757,1.57,0.0125,600,2.0,Pt,0.5,0.5,EA,1.0,365,2200.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0678,400,5.0,none,0.0,2.0,Gly,5.0,500,2214.0
Be,2, Alkaline Earth,2,45.0,102,9.0,1.85,1287.0,2467.0,7.9,297.0,200.0,899,1757,1.57,0.0125,600,1.5,Pt,0.5,0.5,EA,1.0,365,2340.0
Be,2, Alkaline Earth,2,45.0,102,9.0,1.85,1287.0,2467.0,7.9,297.0,200.0,899,1757,1.57,1.0125,400,1.0,Pt,0.5,0.5,EA,2.0,365,2460.0
