Dopant,Period,Classification,Ionic valence,Ionic radius,Covalent radius,Atomic weight,Density,Melting point,Boiling point,Heat of fusion,Heat of vaporization,Thermal conductivity,Ionization Energy I,Ionization Energy II,Electronegativity,Dopant/Ti mole ratio,Calcination Temperature ,Calcination Time,Cocatalyst,Weight Percent of Cocatalyst,Catalyst concentration,Sacrificial Agents,Percent of Sacrificial reagents,Wavelength,Hydrogen production rate
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Co,1.0,1.0,MeOH,50.0,290,2480.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.255,600,12.0,Pd,1.0,0.1,EA,50.0,338,2500.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0148,600,0.0,Pt,1.5,3.85,EA,3.85,365,2521.5
K,4, Alkali Metal,1,138.0,196,39.0,0.89,63.38,759.0,2.32,76.9,102.5,419,3051,0.82,0.01,180,0.0,Pd,0.8,0.1,MeOH,10.0,490,2580.0
Zn,4,Transition Metal,2,74.0,118,65.4,7.14,419.53,907.0,7.32,123.6,116.0,906,1733,1.65,0.26,450,2.0,none,0.0,0.8,MeOH,20.0,500,2660.0
F,2, Halogen,-1,133.0,64,19.0,1.505,-219.61,-188.13,0.51,6.62,0.0279,1681,3374,3.9,0.0,500,2.0,Pt,0.6,0.2,MeOH,20.0,500,2680.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,10.0,350,0.0,Pt,0.0,5.0,Na2SO3,0.0,500,2700.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pd,0.55,0.5,MeOH,30.0,340,2700.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pd,1.0,0.5,MeOH,30.0,340,2700.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.031,400,1.0,none,0.0,0.5,MeOH,50.0,365,2880.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Pt,6.0,1.0,IPA,25.0,290,2900.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.01,130,48.0,none,0.0,8.0,Gly,5.0,290,2941.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,36.47,500,1.0,Pt,1.0,1.0,MeOH,20.0,585,2980.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,0.5,Ru,1.0,0.5,MeOH,30.0,340,3000.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Cu,40.0,0.5,MeOH,30.0,500,3000.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.001,500,3.0,Pt,0.5,0.0,MeOH,8.33,550,3000.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0027,400,5.0,none,0.0,2.0,Gly,5.0,500,3012.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pt,1.0,0.5,MeOH,30.0,340,3050.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.03,500,2.0,Pt,1.0,0.5,MeOH,30.0,340,3050.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,6.0,600,0.0,Pt,0.0,5.0,Na2SO3,0.0,590,3140.0
Ru,5,Transition Metal,4,62.0,125,101.1,12.45,2334.0,4150.0,38.59,591.6,117.0,711,1617,2.2,0.002,500,3.0,Pt,0.5,0.83,MeOH,8.3,590,3160.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,0.5,Ru,5.0,0.5,MeOH,30.0,340,3200.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.304,600,15.0,Pd,1.0,0.1,EA,50.0,338,3300.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.304,600,15.0,Pt,1.0,0.1,EA,50.0,338,3300.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Ni,2.0,1.0,MeOH,50.0,290,3310.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,2.0,Au,2.0,0.75,MeOH,5.0,500,3372.549019607843
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Ni,1.0,1.0,MeOH,50.0,290,3390.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.0015,500,3.0,Pt,0.5,0.03,MeOH,8.33,550,3440.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.001,500,3.0,Pt,0.5,0.05,MeOH,8.33,550,3450.0
La,6, Rare Earth,3,103.0,180,138.9,6.16,920.0,3464.0,6.2,402.1,13.5,538,1067,1.1,0.0117,600,0.0,Pt,1.5,3.85,EA,3.85,365,3503.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.0005,500,3.0,Pt,0.5,0.03,MeOH,8.33,550,3684.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.001,500,3.0,Pt,0.5,0.02,MeOH,8.33,550,3700.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,0.5,Ru,2.0,0.5,MeOH,30.0,340,3900.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0136,400,5.0,none,0.0,2.0,Gly,1.0,500,3900.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.05,Na2S/Na2SO3,0.0,254,4108.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Cu,20.0,0.5,MeOH,30.0,500,4200.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.001,500,3.0,Pt,0.5,0.04,MeOH,8.33,550,4200.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.0013,500,3.0,Pt,0.5,0.03,MeOH,8.33,550,4214.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,0.5,0.325,TB,10.0,365,4300.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,0.5,Ru,3.0,0.5,MeOH,30.0,340,4600.0
Bi,6, Other Metals,3,103.0,151,209.0,9.78,271.5,1564.0,11.3,151.0,7.87,703,1610,1.9,0.02,130,48.0,none,0.0,8.0,Gly,5.0,290,4708.0
Fe,4,Transition Metal,3,65.0,116,55.9,7.86,1535.0,2861.0,13.81,340.0,80.2,759,1561,1.83,0.001,500,3.0,Pt,0.5,0.03,MeOH,8.33,550,4846.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.05,450,2.0,Pt,0.5,0.5,MeOH,30.0,550,5140.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0407,400,5.0,none,0.0,2.0,Gly,5.0,500,5234.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Cu,2.0,1.0,MeOH,50.0,290,5300.0
Mg,3, Alkaline Earth,2,72.0,139,24.3,1.74,651.0,1100.0,8.48,128.0,156.0,738,1451,1.31,3.0,550,3.0,Pt,0.0,0.33,TEA,10.0,500,5441.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.025,450,2.0,Pt,0.5,0.5,MeOH,30.0,550,5450.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,1.0,0.325,TB,10.0,365,5500.0
Ru,5,Transition Metal,4,62.0,125,101.1,12.45,2334.0,4150.0,38.59,591.6,117.0,711,1617,2.2,0.0005,500,3.0,Pt,0.5,0.83,MeOH,8.3,590,5500.0
Ru,5,Transition Metal,4,62.0,125,101.1,12.45,2334.0,4150.0,38.59,591.6,117.0,711,1617,2.2,0.0015,500,3.0,Pt,0.5,0.83,MeOH,8.3,590,5600.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.01,450,2.0,Pt,0.5,0.5,MeOH,30.0,340,5610.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Cu,10.0,0.5,MeOH,30.0,500,5700.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0136,400,5.0,none,0.0,2.0,Gly,2.0,500,6000.0
Ca,4, Alkaline Earth,2,100.0,171,40.0,1.55,842.0,1484.0,8.54,154.7,200.0,590,1145,1.0,0.1,550,3.0,Pt,0.0,0.33,TEA,10.0,500,6193.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.05,450,2.0,Pt,0.5,0.5,MeOH,30.0,340,6250.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,200,2.0,Au,2.0,0.75,EA,5.0,500,6274.509803921568
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Pt,6.0,1.0,EA,25.0,290,6300.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Au,0.5,1.0,MeOH,25.0,400,6300.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pt,1.0,0.325,TB,10.0,365,6400.0
Ru,5,Transition Metal,4,62.0,125,101.1,12.45,2334.0,4150.0,38.59,591.6,117.0,711,1617,2.2,0.001,500,3.0,Pt,0.5,0.83,MeOH,8.3,590,6550.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.255,600,12.0,Pt,1.0,0.1,EA,50.0,338,7000.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Cu,5.0,0.5,MeOH,30.0,500,7100.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,300,5.0,Au,2.0,2.0,MeOH,1.0,585,7200.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,500,3.0,Rh,1.0,1.0,MeOH,8.0,500,7270.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Pt,6.0,1.0,MeOH,25.0,290,7600.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Cu,0.5,0.5,MeOH,30.0,500,7600.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Cu,3.0,0.5,MeOH,30.0,500,7600.0
Nb,5,Transition Metal,5,64.0,147,93.0,8.57,2468.0,4860.0,30.0,689.9,53.7,664,1382,1.6,0.025,450,2.0,Pt,0.5,0.5,MeOH,30.0,340,7860.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Cu,1.0,0.5,MeOH,30.0,500,8000.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0271,400,5.0,none,0.0,2.0,Gly,5.0,500,8045.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.0,400,1.0,Au,1.0,1.0,MeOH,30.0,565,8252.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Cu,1.0,1.0,MeOH,50.0,290,8470.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0136,400,5.0,none,0.0,2.0,Gly,20.0,500,8700.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0136,400,5.0,none,0.0,2.0,Gly,4.0,500,8900.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0136,400,5.0,none,0.0,2.0,Gly,10.0,500,9300.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Pt,2.0,1.0,IPA,25.0,290,9400.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Cu,2.0,0.5,MeOH,30.0,500,9500.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0136,400,5.0,none,0.0,2.0,Gly,8.0,500,9700.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Au,1.0,0.325,IPA,10.0,365,9800.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0068,400,5.0,none,0.0,2.0,Gly,5.0,500,9851.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,none,0.0,0.02,Na2S/Na2SO3,0.0,254,9931.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pt,1.0,0.325,IPA,10.0,365,10000.0
W,6,Transition Metal,6,60.0,137,183.8,19.25,3387.0,5900.0,52.31,806.7,174.0,770,1700,1.7,0.1,350,3.0,none,0.0,0.5,EA,10.0,290,10000.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Cu,1.0,0.77,MeOH,20.0,540,10400.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0136,400,5.0,none,0.0,2.0,Gly,6.0,500,10400.0
Co,4,Transition Metal,2,75.0,111,59.0,8.9,1494.0,2927.0,16.2,377.0,100.0,758,1646,1.88,0.0136,400,5.0,none,0.0,2.0,Gly,5.0,500,11021.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Pt,2.0,1.0,EA,25.0,290,11500.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,450,3.0,Pt,0.25,1.0,MeOH,40.0,540,11800.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.025,Na2S/Na2SO3,0.0,254,11963.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,400,2.0,Au,0.6,0.15,MeOH,10.0,500,12500.0
Eu,6, Rare Earth,3,95.0,168,152.0,5.24,822.0,1527.0,9.21,176.0,13.9,547,1085,0.0,0.02,450,2.0,none,0.0,0.25,Na2S/Na2SO3,0.0,590,13000.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.015,Na2S/Na2SO3,0.0,254,13143.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.304,600,15.0,Pd,1.0,0.1,EA,50.0,256,13500.0
W,6,Transition Metal,6,60.0,137,183.8,19.25,3387.0,5900.0,52.31,806.7,174.0,770,1700,1.7,0.1,350,3.0,none,0.0,0.5,EA,10.0,290,14500.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Au,1.0,0.325,EA,10.0,365,15100.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.255,600,12.0,Pd,1.0,0.1,EA,50.0,256,15300.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.304,600,15.0,Pt,1.0,0.1,EA,50.0,256,15500.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Cu,0.5,0.77,MeOH,20.0,540,15620.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,0.5,0.325,IPA,10.0,365,16200.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Cu,0.05,0.77,MeOH,20.0,540,16340.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Pt,2.0,1.0,MeOH,25.0,290,16400.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,1.0,0.325,IPA,10.0,365,17000.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pt,1.0,0.325,MeOH,10.0,365,17400.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Au,1.0,0.325,MeOH,10.0,365,17600.0
Sn,5, Other Metals,2,118.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.017,180,12.0,Pt,1.0,0.25,TEA,10.0,500,17900.0
Cu,4,Transition Metal,2,73.0,112,63.6,8.96,1084.6,2561.5,13.26,300.4,401.0,745,1958,1.9,0.08,450,4.0,none,0.0,1.0,MeOH,10.0,500,18000.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pt,1.0,0.325,EA,10.0,365,18200.0
Sr,5, Alkaline Earth,2,118.0,185,87.6,2.64,757.0,1366.0,7.43,136.9,35.3,549,1064,0.95,0.3,550,3.0,Pt,0.0,0.33,TEA,10.0,500,19442.0
Sn,5, Other Metals,2,118.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.034,180,12.0,Pt,1.0,0.25,TEA,10.0,500,19500.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Cu,0.3,0.77,MeOH,20.0,540,19512.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Au,1.0,0.325,PG,10.0,365,19600.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,Pt,1.0,1.0,MeOH,50.0,290,20000.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Cu,0.1,0.77,MeOH,20.0,540,20475.999999999996
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pt,1.0,0.325,PG,10.0,365,20600.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,0.5,0.325,EA,10.0,365,21000.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pt,1.0,0.325,EG,10.0,365,21900.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,400,2.0,Pt,0.6,0.15,MeOH,10.0,500,21900.0
N,2,Non-metal,-3,146.0,71,14.0,0.808,-210.0,-196.0,0.72,5.58,0.02598,1402,2856,3.04,0.255,600,12.0,Pt,1.0,0.1,EA,50.0,256,22500.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Pt,1.0,0.77,MeOH,20.0,540,23234.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Au,1.0,0.325,EG,10.0,365,23400.0
Ag,5,Transition Metal,1,115.0,128,107.9,10.49,961.78,2164.0,11.95,258.0,429.0,731,2073,1.93,0.01,0,0.0,none,0.0,0.02,Na2S/Na2SO3,0.0,254,23496.0
Sn,5, Other Metals,4,69.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.017,180,12.0,Pt,1.0,0.25,TEA,10.0,500,24000.0
Sn,5, Other Metals,2,118.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.051,180,12.0,Pt,1.0,0.25,TEA,10.0,500,25100.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,0.5,0.325,MeOH,10.0,365,25400.0
Sn,5, Other Metals,2,118.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.102,180,12.0,Pt,1.0,0.25,TEA,10.0,500,25400.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,1.0,0.325,EA,10.0,365,26400.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pt,1.0,0.325,Gly,10.0,365,27100.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,2.0,Pt,1.0,0.5,MeOH,10.0,290,29333.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Au,1.0,0.325,Gly,10.0,365,29800.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,0.5,0.325,PG,10.0,365,30800.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,1.0,0.325,MeOH,10.0,365,31300.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Au,2.0,1.0,MeOH,25.0,400,31320.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,1.0,0.325,PG,10.0,365,32400.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,0.5,0.325,EG,10.0,365,34700.0
Sn,5, Other Metals,4,69.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.034,180,12.0,Pt,1.0,0.25,TEA,10.0,500,34700.0
Sn,5, Other Metals,4,69.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.051,180,12.0,Pt,1.0,0.25,TEA,10.0,500,38100.0
Sn,5, Other Metals,4,69.0,140,118.7,7.26,231.93,2602.0,7.03,296.1,66.6,709,1412,1.96,0.102,180,12.0,Pt,1.0,0.25,TEA,10.0,500,39400.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,0.5,0.325,Gly,10.0,365,41100.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,500,2.0,Au,1.0,1.0,MeOH,25.0,400,43920.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,1.0,0.325,EG,10.0,365,44500.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,2.0,Pt,0.75,0.5,MeOH,10.0,290,45067.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,2.0,Pt,0.5,0.5,MeOH,10.0,290,46667.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,350,2.0,Pd,1.0,0.325,Gly,10.0,365,47500.0
pure,0,none,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,600,2.0,Pt,0.75,0.5,MeOH,10.0,290,49933.0
